network,port,country,teu_year,teu,cargo_mt,transshipment_share,road_share,truck_teu_factor,source,accessed,circuity,circuity_check
vizag,Visakhapatnam,India,2024-25,618093,82.62,0.03,0.62,1.55,"Visakhapatnam Port Authority, Administration Report 2024-25 (618,093 TEU; 82.62 Mt; 31+1 berths; 10 MW on-site solar) Transshipment share: Visakhapatnam handles very little transshipment. The road share is applied to hinterland (non-transshipment) throughput only; both the transshipment and road shares are calibrated and are varied in the sensitivity analysis.",2026-09-09,1.12,Visakhapatnam Port to Vizianagaram via NH-16: derived 59.2 km vs published ~60 km
sanantonio,San Antonio,Chile,2025,2060244,,0.05,0.88,1.60,"Puerto San Antonio via Seatrade Maritime, 2,060,244 TEU in 2025 (+14% y/y); first Chilean port above 2 M TEU Transshipment share: San Antonio is predominantly a gateway port. The road share is applied to hinterland (non-transshipment) throughput only; both the transshipment and road shares are calibrated and are varied in the sensitivity analysis.",2026-09-09,1.1,San Antonio Port to Santiago via Ruta 78: derived 115.8 km vs published ~104.6 km
manzanillo,Manzanillo,Mexico,2025,3893357,,0.08,0.83,1.62,"Administracion del Sistema Portuario Nacional Manzanillo via Mexico Business News, 3,893,357 TEU in 2025 Transshipment share: Manzanillo is predominantly a gateway port with some coastal relay. The road share is applied to hinterland (non-transshipment) throughput only; both the transshipment and road shares are calibrated and are varied in the sensitivity analysis.",2026-09-09,1.35,Manzanillo Port to Guadalajara via MEX-54D: derived 311.5 km vs published ~310 km
rotterdam,Rotterdam,Netherlands,2025,14200000,428.4,0.3,0.48,1.68,"Port of Rotterdam 2025 throughput: 14.2 M TEU (+3.1%), 428.4 Mt total cargo (-1.7%) Transshipment share: About 30% of Rotterdam container throughput is transshipment that never touches a road. The road share is applied to hinterland (non-transshipment) throughput only; both the transshipment and road shares are calibrated and are varied in the sensitivity analysis.",2026-09-09,1.12,Maasvlakte to Venlo via A15/A16/A58/A67: derived 187.0 km vs published ~180 km
